"interview__key","interview__id","cm_d01a1","cm_d01a2","cm_d01b1","cm_d01b2","cm_d01c1","cm_d01c2","cm_d01d1","cm_d01d2","cm_d01e1","cm_d01e2","cm_d01f1","cm_d01f2","cm_d01g1","cm_d01g2","cm_d01h1","cm_d01h2","cm_d02","cm_d03m","cm_d03y"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",0,0,0,0,0,0,0,0,0,0,741,,,,,,2,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",2297,36,1500,23,0,0,0,0,1000,17,1600,24,3,0,0,0,2,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",400,27,100,6,0,0,0,0,0,0,1000,67,0,0,0,0,2,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",0,0,0,0,0,0,0,0,0,0,0,90,0,10,0,0,2,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",,,,,,,,,,,,,,,,,2,,
"02-13-48-87","81c3b588f9ba4006982758f870f2f813",0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,2,,
"02-42-01-91","0e4926dd925f4959a0a2ba9fcf76f4b1",0,0,0,0,0,0,0,0,0,0,18,35,82,65,0,0,2,,
"02-47-01-60","5547333a50e842c3b7f5e0d596c94105",1600,10,0,0,0,0,7200,45,20,1,4000,25,0,0,0,0,2,,
"02-66-66-02","eea4ad4f966f47d683df307558202d6a",,,,,,,,,,,,,,,,,1,99,1974
"03-22-58-12","a276a7cd34714b13a398b24552128770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"03-45-67-62","17f44b30f5cd405eb90778c7156592d6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"03-46-31-84","6abc63d603c54c8fbce3495dce08f5ed",4584,67,0,0,692,10,553,8,0,0,1047,15,0,0,0,0,2,,
"03-56-36-64","bc9b40a668f6400e8f1d47278a5bb5fa",0,0,0,0,0,0,0,0,0,0,276,90,20,7,30,10,2,,
"03-77-08-35","e9fceece00044393aa812fcded6a8216",1980,63,0,0,460,15,345,11,0,0,340,10,0,0,12,1,1,9,2009
"03-98-19-33","2af74dc3885e42718aa0a5bed9b7b3cb",,,,,,,,,,,,,,,,,,,
"04-16-80-99","3488dabcb0f0414e85b0892e08bd35a7",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"04-20-86-53","b5288b868ad24efe9dd1d38a55b8ef05",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"04-31-96-12","4b4b853fb39446949bae0db4e452fd68",5,1,0,0,0,0,0,0,0,0,20,98,1,1,0,0,2,,
"04-49-66-61","bfa1cc2538de4ccd873475195e0d1f31",0,0,0,0,0,0,0,0,20,1,410,80,300,60,0,0,2,,
"04-72-35-98","92b9570f94b14e3ba9515e71d493138d",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"05-18-84-95","ad90d4901f254f99a3c8f108225fb490",3707,83,0,0,0,0,0,0,0,0,741,17,0,0,0,0,1,11,1975
"05-21-82-83","478ae41fc1214b62b19ae0154060633b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"05-51-66-23","4833c9f491c54adbb73fe05846484934",,,,,20,,,,,,,,,,,,2,,
"05-55-20-57","c51527bf510e483796d30dadec0ff31c",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"05-55-54-25","f90128b15fd84712b23da52ea102218d",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"05-96-73-20","6455054c25784852a537e4751f8f435b",0,0,0,0,0,0,0,0,0,0,13,93,1,7,0,0,2,,
"06-05-50-78","60193fdc4caa4cdb9fde1514af28d7ce",0,0,0,0,0,0,0,0,0,0,1186,80,297,20,0,0,2,,
"06-37-03-07","5b8bf508d5f348ebb1c1036d8b835f2d",12000,,0,0,0,0,0,0,0,0,,,0,0,0,0,2,,
"06-47-61-53","a7040ead2d704226862bb5fb5c8b8d7b",3785,,0,0,0,0,0,0,0,0,,,,,,,2,,
"06-95-26-82","803d457b03ca4e4b801d8304104f4fb9",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"06-95-53-32","23a3d549fce64c1c8b5d098295e3c663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2009
"06-96-70-64","99075a0d1bc24d8a92e75019bd11180f",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"07-12-97-68","bd4828f9b20c4f6abfe4a359eada7e21",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,99,1974
"07-19-26-64","778379d74dd544b4b83aaef828e357f7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"07-73-19-27","8413b3343ec241268771b9ac10d4dae3",0,0,0,0,0,0,0,0,0,0,,100,0,0,0,0,2,,
"07-89-96-52","9f4c62c6c3244f098bec2ef1896d8f9f",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"08-20-01-66","db325630a8554f86bb31812f0648565c",1507,88,0,0,56,3,24.7,1,18,1,108.3,6,0,0,5,1,2,,
"08-26-26-27","224b985bcd714f44b069395222104432",,,,,,,,,,,,,,,,,1,,
"08-52-73-98","1bb43407e5e14e4ea2f6a12758f985b5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"09-09-71-46","71da491d04b1463f9ceb2f507d06c95b",5000,50,0,0,30,3,4000,40,0,0,600,6,10,1,0,0,2,,
"09-18-23-46","c0fe40a20d5b4b8e9805ac27c298d232",,,,,,,,,,,,,,,,,2,,
"09-74-42-02","fc3cef654e724c1db32acc3c4835be79",,,,,,,,,,,,,,,,,2,,
"09-98-78-45","3a6d3e7985e74f4c9c54205cf0d7f0b3",0,0,0,0,0,0,0,0,0,0,600,80,100,17,0,0,2,,
"10-00-56-46","effc522e23ae4a4db5e3fe6168d59c75",50,,,,,,,,20,,1200,,,,,,2,,
"10-15-01-02","230bbd21e5b34515986c4712d05ca38c",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"10-61-60-35","fa98de2ff33844f0addbe2bb58f41480",3121,,0,0,,,603,,,,,,3,,,,2,,
"11-26-46-52","20c9a373da7c4e32989e614f0db9e7e8",0,0,0,0,0,0,0,0,0,0,125,100,0,0,0,0,2,,
"11-28-44-98","0990139eeaa64c7da10c16d8cd89826c",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,3,2012
"11-62-61-27","8e9b2ad8a66f47669ede1506088e9fcd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"12-34-68-20","1262ffb3f7c24d3f8bcfe3e27c76c33e",0,0,0,0,0,0,0,0,0,0,560,95,,,0,0,2,,
"12-43-07-80","b6946418f07e4feeaa4ed83dd4a67542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"12-87-61-13","486c019ffbda4c5aa98114aa9bdb81fc",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"12-90-48-34","61e9dde626924887a8acd2fd4583d0ee",0,0,0,0,0,0,0,0,0,0,937.5,100,0,0,0,0,2,,
"13-10-41-09","3d15d079ce3347dcbd443b7eaaf65426",0,0,0,0,0,0,0,0,0,0,600,100,0,0,0,0,2,,
"13-42-52-99","25168cf5198a4bbf863b5011fe0596bb",5,6,0,0,0,0,0,0,0,0,75,94,0,0,0,0,,,
"13-43-11-98","47e5a514e372463581b9df8779aabf31",0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0,2,,
"13-75-01-91","ebe20bc5bc7c4e68b57e2f1c6090c08e",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,,
"13-86-41-70","1dae3cc3f13645798704c27e6a1c5772",2000,40,0,0,0,0,0,0,8,1,6000,60,0,0,0,0,1,12,1970
"13-90-90-46","75239c4f0b424430a36ff97d2f18507b",0,0,0,0,0,0,0,0,0,0,679,100,0,0,0,0,2,,
"13-91-33-31","eada5d2637e2453c9b94b1138850b725",,,,,15,,0,0,,,2500,,,,,,1,12,2020
"14-25-36-11","59e8a1477c2e4cd8a82359140295ebec",,,,,,,,,,,,,,,,,1,11,1975
"14-78-98-65","219c4558fe794d93b25cdaa6f45898b7",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"14-88-21-28","98855ffce9a4466fa1be7f67411cef09",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"15-14-18-98","6cb0f62882a34c72a57342836c312efc",,,,,,,,,,,,,,,,,2,,
"15-18-34-06","cdd34ce87a194d1bb7bc95833d35d428",0,0,0,0,0,0,0,0,0,0,9,100,0,0,0,0,2,,
"15-18-39-59","ef86d8e7554b46fb82edf7e517f76ba8",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"15-37-10-99","8d30be71117040fab4ce9e26f8af0e14",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,99,2009
"15-38-21-02","7affc2474ff6432bad68f8b8c5970a97",,,,,,,,,,,,,,,,,1,99,1974
"15-43-13-32","945b2a0ed9164eb3a924315fe1c2ca88",2970,97,0,0,60,2,0,0,0,0,30,1,0,0,0,0,2,,
"15-72-61-48","792ce303f61f45c98f419dde9a9a4bee",0,0,0,0,0,0,0,0,0,0,600,95,10,1,0,0,2,,
"15-76-36-37","8692a2b4c2b24b708e632d07f4a07d4b",4000,31,0,0,4000,31,0,0,0,0,5000,38,0,0,0,0,2,,
"15-95-84-19","f29231969a5b4af5882eb895873225ed",0,0,0,0,0,0,0,0,600,5,4000,75,2000,15,0,0,2,,
"16-03-65-14","6c497bddf9cc44eaa74d041b7ad24600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"16-08-16-73","3d35bf342bf14c76b74a5d292014ae38",300,6,0,0,0,0,0,0,0,0,4700,94,0,0,0,0,1,8,1996
"16-19-85-85","40e816918f534ced9e7310dbe18172fc",0,30,0,0,0,0,0,50,0,0,0,20,0,0,0,0,2,,
"16-49-36-99","143e4faef10f4210a3c7a5f405c77376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"16-88-05-29","7e5434541642423aa74fd8c546af937d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"17-36-03-69","652a993227894c51aec492470b9e69e8",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,7,2009
"17-40-86-49","ded7f5d9f403414eb52ebbe538234407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2012
"17-79-17-09","85ac9c3be9684f3cbffdc03b912a532e",,,0,0,0,,,0,0,0,,,0,0,,,2,,
"17-89-27-01","6cd5004547c24ce9a0f8509b2da272dc",0,0,0,0,0,0,0,0,30,3,970,80,0,0,245,20,1,,
"18-08-37-11","ba8d153ebaa84813be93fac74236fb22",0,0,0,0,0,0,0,0,0,0,200,98,20,10,0,0,2,,
"18-17-35-50","51ebc08efcb44960bee0a3c4a55713f2",0,0,0,0,0,0,0,0,0,0,400,99,4,1,0,0,2,,
"18-25-05-22","294278e5b2914a92ad69e606a81584ec",1000,25,0,0,0,0,0,0,0,0,3000,75,0,0,0,0,2,,
"18-31-12-38","d8e858a01bf644b6bb6f617974e34231",0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,1,99,
"18-57-85-56","1e7edef68d3b4de28554d101fdd30f50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"18-69-36-93","1cee32c5e8a94f2c99a2cd662929c718",,,,,,,,,,,,,,,,,1,99,
"19-25-14-50","8a69d6d3a47e40b3947804870c16d97f",2471,82,0,0,300,10,0,0,30,1,181,6,4,0,25,1,1,99,1972
"19-32-48-58","8e0afcd96b0c4a548378d1ce71419c82",0,0,0,0,0,0,0,0,0,0,205,97,5,3,0,0,2,,
"19-41-11-33","be0d3fe60bf44e029bca424bed2b5835",1500,50,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,2,,
"19-62-24-10","0ac9ecae7a84456f91ca05f96d0cb08f",,,,,,,,,,,,,,,,,1,99,1974
"19-86-35-77","4cbce22a484a4ac08bfe92e0d38b6b12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"20-14-91-34","77b63d1267364fb69824735c3fc555d2",0,0,0,0,0,0,0,0,0,0,376.9,100,0,0,0,0,2,,
"20-70-41-87","6aae68762f2a445781745cdbabd8fc4e",0,0,0,0,0,0,0,0,0,0,,,,,0,0,2,,
"20-70-55-59","221ad84269d34b79bcc9abd41d8f2fb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"20-81-51-95","2d3ead54fa8846ddaca9a812767244d8",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,,
"20-99-51-49","1239f3addf194bb69a0e174eb45de43f",,,,,,,,,,,,,,,,,1,99,1974
"21-01-77-43","3562090d2a41401086709383c4ea763c",2000.9,36,0,0,2880,53,0,0,34.6,1,432,8,4,0,128,2,2,,
"21-06-86-31","ce7a8dc61bed49f788d823da1855a9b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"21-22-59-73","404e1855c677452594a51e7f25017970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"21-58-46-84","e167edae1264402caad7fd6007f8ebce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"21-75-41-89","b4688b9b5df1411fb72588d659f08550",2588,25,0,0,0,0,0,0,0,0,7929.5,75,0,0,12.5,0,2,,
"21-77-87-53","8330886c38624292b1c08b474de626eb",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"22-15-51-55","b0d7925bf5034026bacd2b3def1a1aed",,,,0,,0,0,,0,0,,,0,0,,,2,,
"22-31-06-49","34c6e2eec2104bd6b8158b19b8f304b7",1,1,0,0,0,0,0,0,0,0,99,99,0,0,0,0,1,99,2007
"23-06-49-35","3280da4efd664a14afee47f8d1773ffe",90,45,0,0,0,0,0,0,0,0,110,55,0,0,0,0,2,,
"23-20-71-88","3f51b1c5c88149b497fbaf5a3b721ad3",,,,,,,,,,,,,,,,,,,
"23-25-29-43","7b8bfe8da50645ec800fb52c567640ea",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"23-37-02-38","19fb087b522840408d9cba2d169af80e",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"23-45-19-58","9299d162d3fa4df4be895ccafa978868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"23-48-88-31","56c8e7f3edcb40c9baa9df4ac4f47a32",0,0,0,0,,,,,,,,,,,,,1,99,
"23-59-46-86","0c8e8c0303bb4aafb7284409833adb66",0,0,0,0,0,0,0,0,,0,,,,,,,2,,
"23-96-87-25","e333d8bdca374a92836a9590dd86c471",,,,,,,,,,,,,,,,,,,
"24-61-44-03","0bb43ac4010e4e01be773a81aaf0087c",,,,,,,,,,,,,,,,,1,99,1975
"24-89-09-94","e7dfecff6ffe4286aa2195d8bcb3486d",0,5,0,0,0,0,0,0,0,0,1695,99,2,0,1,0,2,,
"25-17-54-76","361ad171963841bbb3645046cf22af46",0,0,0,0,0,0,0,0,20,25,60,75,0,0,0,0,2,,
"25-18-70-60","c2b5fc68a90d40849ab1387e4f8d82df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"25-29-15-47","ccac1f2e0ca14ec5b8059348d689cda0",0,0,0,0,0,0,0,0,0,0,400,90,5,1,0,0,2,,
"25-31-09-10","5382382a0c534f86ba72eaccdf6d5a62",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"25-48-61-60","2d891d2b92f149c79e9bc21c992d2f57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"25-61-70-00","785074df619d463f8053802c92e96b74",6916,34,0,0,3690,18,250,1,600,3,100,1,0,0,8727,43,1,8,2019
"25-66-18-83","deee90b66083439f8882b5a61c567ae2",145,,0,,12,,0,0,0,0,,,,,0,0,2,,
"25-76-69-65","d69f20c67b984d9f97e954ec7932412d",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,,
"25-83-12-16","708f3c300a4e4de3860f6671178f6f90",0,0,0,0,0,0,0,0,0,0,70,100,0,0,0,0,2,,
"26-24-28-41","7011f375562a47a8a25ebc1220d773eb",,,,,,,,,,,82,,,,11,,2,,
"26-26-10-66","98f4915937cb4971804f8c440a7e9bb6",,,,,,,,,,,,,,,,,2,,
"26-26-74-78","5a5a63e955564390989d3cdd4b7a8323",,,,,,,,,,,,,,,,,2,,
"26-45-77-73","16c36538583a48b2a46d8d34bff44f6b",225,35,0,0,300,50,0,0,0,0,15,0,0,0,0,0,2,,
"26-49-97-56","1187a5d303b24b28aa79e895929ae24d",,,,,,,,,,,,,,,,,1,99,
"26-70-20-65","43cab16657fc4334bb802d0f4c11975b",50,50,,5,,14,,0,,0,,30,,,,1,1,2,2015
"27-01-55-62","d7df1a6faea440f2ba5fe6ffb4fd236f",0,0,0,0,0,0,0,0,0,0,,,,,0,0,2,,
"27-07-13-10","77823385d96a4ef39f7be6319031b730",0,0,0,0,0,0,0,0,0,0,,100,,,,,2,,
"27-07-69-25","bb849df1f4e14d2582979b75b0ddf291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"27-12-97-63","afb28d34da194a019465d81f7053ceab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"27-21-42-62","23d11595c7d641d88dc0278f401da209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"27-68-78-78","aedcacfe52b545c3b937e62bf904a870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"27-75-52-18","3a8327ccf46c4fbb8e06454526487ec1",0,0,0,0,0,0,0,0,0,0,,,,,,0,2,,
"27-81-45-32","f88aad0aba7a46e5ab437201c76654b8",0,0,0,0,0,0,0,0,0,0,1300,100,0,0,0,0,2,,
"28-01-45-62","f580fb096aa44beea6c7121578719c47",200,17,0,0,0,0,0,0,0,0,1000,83,0,0,0,0,2,,
"28-02-63-88","1c281ac267df4c18a26fd4a1e21253f8",0,0,0,0,0,0,0,0,0,0,600,95,6,1,0,0,2,,
"28-25-64-39","01b6e49d107447739033640e1a773b32",,,,,,,,,,,,,,,,,1,7,1975
"28-34-63-03","3d4b4d17201f42bcbfd971e1dc454dbb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"29-04-41-56","4dc3df919fb64505b59d7aeb085550c5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"29-13-94-87","1857815e7ccc4c3c80183ee70f1a522c",4657,44,,,0,0,409,4,20,1,4615.2,44,30,1,846,8,1,99,2020
"29-30-93-92","6ba457b9264f4babb4a6c6e42dfea2f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"29-40-51-88","c469efc2d6714682976b6b585c06cf0d",40,14,0,0,0,0,0,0,0,0,240,86,0,0,0,0,2,,
"29-41-98-71","f0bcfec74a0a47169faf981b73dfa849",4000,50,0,0,0,0,2000,25,2000,25,2000,25,45,0,0,0,1,99,1974
"29-76-24-49","2b3dc96996f948f885dd3b1505281d0f",0,0,0,0,20,33,0,0,0,0,40,67,0,0,0,0,2,,
"29-90-32-99","9f349738c13945738f0fcac82fe05950",0,0,0,0,0,0,0,0,0,0,150,95,5,2,0,0,2,,
"30-32-58-80","94eb3c0659614b39931c04086df0fe5c",,,,,,,,,,,,,,,,,2,,
"31-02-15-72","348369147018401aad245bfcb5738d49",0,0,0,0,100,40,0,0,0,0,150,60,0,0,0,0,2,,
"31-38-01-30","cafb01ca04e749029420f7d0e28cf946",,,,,,,,,,,,,,,,,2,,
"31-39-34-32","1098202b04f14babb73327314f5983ab",2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,,
"31-58-49-44","99d486eaa08a4ac8af07cb0673c8d0c9",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"31-71-96-41","6612b0c5c8014bc590ab236d3f8a67b1",0,0,0,0,0,0,0,0,0,0,140,100,0,0,0,0,2,,
"32-23-82-81","9ee2aeeaadc34d49b3e9a27cf1c11fa8",0,0,0,0,0,0,0,0,0,0,1263.7,94,25,2,50,4,2,,
"32-24-12-67","125d8d8a804640ec8b0874f78b5d84c1",,,,,,,,,,,,,,,,,1,99,2011
"32-36-85-03","79476515eb48416683895ba014ecc043",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,12,1975
"32-60-26-67","d698872d083a4f3aab63fba3e1385d86",,,,,,,,,,,,,,,,,,,
"32-66-27-87","2a718ef1a4784eda94a1c077b1cbe868",0,0,0,0,0,0,0,0,0,0,326,100,,,,,2,,
