"interview__key","interview__id","cm_e01","cm_e02","cm_e03","cm_e04__1","cm_e04__2","cm_e04__3","cm_e04__4","cm_e05","cm_e06","cm_e07_1","cm_e07_2","cm_e08","cm_e09","cm_e10","cm_e11","cm_e12","cm_e13","cm_e14","cm_e15","cm_e16","cm_e17","cm_e18","cm_e19_b","cm_e19_c","cm_e20__1","cm_e20__2","cm_e20__3","cm_e20__4","cm_e20__5","cm_e20__6","cm_e20__7","cm_e20__8","cm_e20__9","cm_e20__10","cm_e20__11","cm_e20__12","cm_e21"
"25-48-61-60","2d891d2b92f149c79e9bc21c992d2f57",2,,,,,,,1,6000,"ARUSHA",6,6000,9,6,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"25-61-70-00","785074df619d463f8053802c92e96b74",2,,,,,,,1,12000,"MURUMBA",0,12000,4,0,2,,,1,1,3,3,1,1,17,1,1,1,1,1,1,0,0,0,0,0,1,2
"25-66-18-83","deee90b66083439f8882b5a61c567ae2",1,1,20,1,0,0,0,1,6000,"ITEZI MAGHARIBI",0,6000,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"25-76-69-65","d69f20c67b984d9f97e954ec7932412d",2,,,,,,,1,6000,"NASETANI",1,6000,20,50,2,,,2,2,2,1,1,21,215,1,0,0,0,0,0,0,1,1,1,1,1,2
"25-83-12-16","708f3c300a4e4de3860f6671178f6f90",2,,,,,,,2,,"CHAKE CHAKE",16,8000,5,4,2,,,1,2,1,1,2,,,,,,,,,,,,,,,
"26-24-28-41","7011f375562a47a8a25ebc1220d773eb",2,,,,,,,2,,"DODOMA",6,5000,,,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"26-26-10-66","98f4915937cb4971804f8c440a7e9bb6",2,,,,,,,1,6000,"IKOLA",0,6000,30,100,2,,,3,3,1,3,2,,,,,,,,,,,,,,,
"26-26-74-78","5a5a63e955564390989d3cdd4b7a8323",2,,,,,,,2,,"NEWALA MJINI",30,15000,0,0,1,200,125,3,2,2,4,2,,,,,,,,,,,,,,,
"26-45-77-73","16c36538583a48b2a46d8d34bff44f6b",2,,,,,,,2,,"PANGALE",1,6000,,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"26-49-97-56","1187a5d303b24b28aa79e895929ae24d",1,1,500,1,1,0,0,2,,"NDANDA",3,15000,8,30,2,,,4,4,1,4,2,,,,,,,,,,,,,,,
"26-70-20-65","43cab16657fc4334bb802d0f4c11975b",1,4,2500,0,0,0,1,2,,"NEWALA MJINI",16,8000,9,20,2,,,5,4,2,4,2,,,,,,,,,,,,,,,
"27-01-55-62","d7df1a6faea440f2ba5fe6ffb4fd236f",2,,,,,,,2,,"KARIAKOO",9,2000,45,60,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-07-13-10","77823385d96a4ef39f7be6319031b730",2,,,,,,,2,,"WAILES",2,6000,,,1,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-07-69-25","bb849df1f4e14d2582979b75b0ddf291",2,,,,,,,1,0,"KAMPUNI YA KILIMO",3,10000,0,0,2,,,3,4,2,4,2,,,,,,,,,,,,,,,
"27-12-97-63","afb28d34da194a019465d81f7053ceab",2,,,,,,,2,,"MBEYA JIJI",3,6000,0,0,2,,,4,4,3,3,2,,,,,,,,,,,,,,,
"27-21-42-62","23d11595c7d641d88dc0278f401da209",2,,,,,,,2,,"SHOPPERS ARUSHA",4,6000,50,50,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-68-78-78","aedcacfe52b545c3b937e62bf904a870",2,,,,,,,2,,"IGAWA",5,6000,3,10,2,,,5,5,2,3,1,12,125,0,0,0,0,0,1,1,1,1,1,0,0,3
"27-75-52-18","3a8327ccf46c4fbb8e06454526487ec1",2,,,,,,,2,,"MWANJELWA",2,6500,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-81-45-32","f88aad0aba7a46e5ab437201c76654b8",2,,,,,,,2,,"LIMBANI",1.5,7000,0,1,2,,,3,4,3,4,2,,,,,,,,,,,,,,,
"28-01-45-62","f580fb096aa44beea6c7121578719c47",1,5,75,1,0,0,0,1,7000,"TIBIRINZI",15,7000,0,6,2,,,1,4,1,4,2,,,,,,,,,,,,,,,
"28-02-63-88","1c281ac267df4c18a26fd4a1e21253f8",2,,,,,,,2,,"BANANA",2,10000,20,50,1,875,401,1,3,1,3,2,,,,,,,,,,,,,,,
"28-25-64-39","01b6e49d107447739033640e1a773b32",1,1,12,0,1,0,1,1,7000,"CHANGANYIKENI",12,7000,1,7,2,,,3,1,1,1,2,,,,,,,,,,,,,,,
"28-34-63-03","3d4b4d17201f42bcbfd971e1dc454dbb",1,10,107,1,1,1,0,2,,"KIJIJI CHA IGAGALA NAMBA 5",3,6000,3,2,2,,,5,5,2,2,1,12,121,0,0,0,0,1,1,0,0,0,0,0,0,2
"29-04-41-56","4dc3df919fb64505b59d7aeb085550c5",2,,,,,,,2,,"AFISA MIFUGO WA KATA",0,1200,0,0,2,,,3,4,3,3,2,,,,,,,,,,,,,,,
"29-13-94-87","1857815e7ccc4c3c80183ee70f1a522c",2,,,,,,,1,1000,"KATANI",8,1000,2,0,2,,,1,1,1,1,1,6,63,0,0,1,1,1,0,0,0,0,0,0,0,2
"29-30-93-92","6ba457b9264f4babb4a6c6e42dfea2f1",1,1,56,1,1,0,1,2,,"MBALIZI",3,400,0,14,2,,,3,3,1,4,2,,,,,,,,,,,,,,,
"29-40-51-88","c469efc2d6714682976b6b585c06cf0d",2,,,,,,,2,,"KWA HAJI TUMBO",5,7000,10,15,2,,,3,2,2,3,2,,,,,,,,,,,,,,,
"29-41-98-71","f0bcfec74a0a47169faf981b73dfa849",1,1,250,0,1,0,0,1,6000,"MASWA",0,6000,2,7,2,,,2,3,1,1,2,,,,,,,,,,,,,,,
"29-76-24-49","2b3dc96996f948f885dd3b1505281d0f",2,,,,,,,2,,"CHUINI",6,6000,5,12,2,,,3,4,3,2,2,,,,,,,,,,,,,,,
"29-90-32-99","9f349738c13945738f0fcac82fe05950",2,,,,,,,2,,"RANGITATU",4,4000,30,30,2,,,1,2,1,2,2,,,,,,,,,,,,,,,
"30-32-58-80","94eb3c0659614b39931c04086df0fe5c",2,,,,,,,2,,"MTAA WA MWANZO",0,6500,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"31-02-15-72","348369147018401aad245bfcb5738d49",2,,,,,,,2,,"KINYASINI",9,8000,1,5,2,,,3,1,3,4,2,,,,,,,,,,,,,,,
"31-38-01-30","cafb01ca04e749029420f7d0e28cf946",2,,,,,,,1,5000,"MUSOMA MJINI",20,5000,0,0,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"31-39-34-32","1098202b04f14babb73327314f5983ab",2,,,,,,,2,,"CENTRAL",3,6500,,,2,,,3,4,1,4,2,,,,,,,,,,,,,,,
"31-58-49-44","99d486eaa08a4ac8af07cb0673c8d0c9",2,,,,,,,1,,"MANZEZE",2,,,,2,,,3,3,3,3,2,,,,,,,,,,,,,,,
"31-71-96-41","6612b0c5c8014bc590ab236d3f8a67b1",1,1,20,0,1,0,0,2,,"LIMBANI",27,3000,2,2,1,18,9,1,3,1,3,2,,,,,,,,,,,,,,,
"32-23-82-81","9ee2aeeaadc34d49b3e9a27cf1c11fa8",2,,,,,,,2,,"KAHAMA MJINI",1,5000,,,2,,,3,3,1,3,2,,,,,,,,,,,,,,,
"32-24-12-67","125d8d8a804640ec8b0874f78b5d84c1",1,1,13,0,1,1,0,1,12000,"MWAMAPALALA",1,10500,4,10,1,20,16,4,2,4,2,2,,,,,,,,,,,,,,,
"32-36-85-03","79476515eb48416683895ba014ecc043",2,,,,,,,2,,"MJI WA KAYANGA",22,6000,3,1,1,120,50,1,2,2,2,2,,,,,,,,,,,,,,,
"32-60-26-67","d698872d083a4f3aab63fba3e1385d86",1,1,60,1,1,0,0,1,12000,"NYAMIKOMA",0,12000,15,80,1,70,25,3,4,2,4,1,18,183,0,0,0,0,1,0,0,0,0,0,0,0,2
"32-66-27-87","2a718ef1a4784eda94a1c077b1cbe868",2,,,,,,,1,6000,"MWANGA",0,6000,135,200,2,,,3,2,3,1,2,,,,,,,,,,,,,,,
"32-78-57-97","c9038cca0a5c46ffa45a80eb2a8f153c",2,,,,,,,2,,"KIZIMBANI",29.5,6000,8,6,2,,,3,4,3,4,2,,,,,,,,,,,,,,,
"33-09-36-22","cd4738c1cacd47e19da8175173ed95b0",1,2,600,1,1,0,1,1,7500,"KAHAMA",180,7500,0,0,2,,,2,4,2,4,1,14,147,0,0,0,0,0,1,0,0,0,0,0,0,2
"33-28-65-96","192b0578403c4a93ba6479062922aa97",2,,,,,,,1,5000,"MUUZAJI ANAPATIKANA KIJIJINI  AHAMURAMA",0.3,5000,0,0,1,200,50,1,4,2,3,2,,,,,,,,,,,,,,,
"33-31-71-25","49990debeaee42cb804cc691670e0e2c",2,,,,,,,2,,"NAGAGA",4,12000,1,10,2,,,4,4,3,4,2,,,,,,,,,,,,,,,
"33-50-28-47","7f5a7dfb98b14df19f3d900b65ef6ee6",2,,,,,,,1,12000,"BUTIAMA MJINI",31,12000,10,200,1,500,250,2,2,2,2,2,,,,,,,,,,,,,,,
"33-68-65-40","51bfa4b684b3404d8557a6a64f7835b7",2,,,,,,,1,12000,"MAGITO",3,400,0,0,2,,,1,2,1,3,2,,,,,,,,,,,,,,,
"33-69-81-55","b63b33a9c4364bd091c36ad0b8831869",1,3,40,0,1,0,0,2,,"MITAKAWANI",2,1000,0,1,2,,,1,2,1,4,2,,,,,,,,,,,,,,,
"33-77-33-77","58419d176d9a48baaa9c66b254a3938d",2,,,,,,,2,,"BUGURUNI",1,4000,110,110,2,,,1,1,3,2,2,,,,,,,,,,,,,,,
"33-93-86-11","43c8bc84316143628719f30613f7d4da",2,,,,,,,2,,"MBEYA MJINI",5,12000,21,16,2,,,2,2,2,3,2,,,,,,,,,,,,,,,
"34-15-64-27","6ced9d767bc441b9a06a1166982cce64",2,,,,,,,2,,"KATORO",2,5000,6,3,2,,,1,2,2,2,2,,,,,,,,,,,,,,,
"34-16-82-94","5cb5ad6abc0344b8b19eb50cd7d73989",1,1,57,1,1,0,1,1,6000,"IGWACHANYA",15,3000,6,6,1,150,36,5,3,4,3,2,,,,,,,,,,,,,,,
"34-64-64-19","b7bab450d3384920a28b9f3b6554eabd",2,,,,,,,1,6000,"MTAA WA MAJENGO STENDI KUU USHIROMBO",4,6000,6,24,2,,,3,4,3,3,2,,,,,,,,,,,,,,,
"34-76-48-19","57a192e1b8ac48c2a1b77aaa5048c77d",2,,,,,,,2,,"SAKALILO",3,6000,10,15,2,,,5,5,1,3,1,15,152,1,1,1,1,1,0,0,0,0,0,0,0,1
"34-80-29-34","bf1c3aecee284e258f22f85725f42b49",2,,,,,,,1,12000,"KALIUA",20,12000,25,4,2,,,3,2,3,3,2,,,,,,,,,,,,,,,
"35-69-84-11","15c2671c717b4d46b4467b5b68f1cfde",1,1,12,1,1,0,1,2,,"IHALO",7,1000,0,0,2,,,5,5,3,3,2,,,,,,,,,,,,,,,
"36-72-54-66","5c43e0b866744f9091b111e708859602",2,,,,,,,2,,"KIJIJI CHA NSHAMBA",2,8000,6,8,2,,,2,3,1,3,2,,,,,,,,,,,,,,,
"36-78-86-78","bdf1b37700e6445494d008e4ead01d7f",1,1,370,1,0,0,1,2,,"MTAMA",8,7000,20,65,2,,,2,1,4,4,2,,,,,,,,,,,,,,,
"36-81-06-00","46d48df7f4a4411398075c1dcb707b4a",1,1,120,0,1,0,0,1,600,"MASUMBWE",33,600,25,15,2,,,5,5,1,2,1,17,171,0,0,0,0,1,1,1,0,0,0,0,0,2
"36-91-68-94","f6c7d7c357e243c18c4020d27b2548cd",2,,,,,,,1,5000,"KAREMA",0,500,0,0,1,80,60,5,4,4,1,2,,,,,,,,,,,,,,,
"36-98-89-49","2c04a7ae80bb4764b6c47cc1c53655f8",2,,,,,,,2,,"UBUNGO",5,2500,30,28,1,30,30,2,2,1,1,2,,,,,,,,,,,,,,,
"37-27-71-31","5999ebc6135c4031ab2a360655509f4f",2,,,,,,,1,,"PWANI TEGETA",0.2,,30,22,1,26,16,3,3,1,3,2,,,,,,,,,,,,,,,
"37-37-76-26","77e5ea11bf7b4db9bf901b1feb9d070e",1,1,200,1,1,0,0,1,6000,"NYAHOLONGO",9,6000,24,20,2,,,2,2,1,2,2,,,,,,,,,,,,,,,
"37-75-00-81","4a638846ffe444069573d2bf846c37f5",1,1,56,1,1,0,1,1,5000,"MIPA",12,5000,10,0,2,,,5,1,1,1,1,14,142,0,0,0,0,1,1,1,0,0,0,0,0,2
"37-96-00-16","e95cc212f78342788a95b2a64485d521",1,7,64,0,1,0,0,1,1200,"IGOWOLE",10.5,2000,0,3,2,,,2,3,4,3,2,,,,,,,,,,,,,,,
"38-26-54-21","5cabcf457b23475f8986831763d110b5",2,,,,,,,1,6000,"SOKO KUN LA KASULU",2,6000,6,7,2,,,3,2,2,2,2,,,,,,,,,,,,,,,
"38-37-35-74","e5d7186001f84e3a9654cc73d633e4c0",2,,,,,,,1,5000,"KABOHA",3,6000,16,8,2,,,2,3,2,2,2,,,,,,,,,,,,,,,
"38-69-00-13","fd1406db080749f9a51f71bb79e4dc93",2,,,,,,,1,6000,"KIJIJI CHA SUMVE",9,5000,3,3,2,,,2,3,2,3,1,19,197,1,1,1,0,0,0,0,0,0,0,0,1,1
"38-70-89-36","d3aa7051c6a34dd5aca32b709fe97a5d",1,2,60,1,0,0,1,2,,"KASAUNGA",3,4000,7,4,2,,,1,2,2,1,1,15,152,0,0,0,0,0,0,1,0,0,0,0,0,2
"38-78-05-37","29c8d9a5d0af437894856b925778531c",1,1,80,0,0,0,1,1,2000,"TUNDURU",20,5000,0,30,2,,,4,4,2,4,2,,,,,,,,,,,,,,,
"38-87-40-88","af73ee1145f04ee69c3d084c7dfaffd4",1,2,150,0,1,0,1,2,,"BUKOBA MJINI",18,7500,0,25,2,,,2,1,1,2,2,,,,,,,,,,,,,,,
"39-13-14-77","fcd2bd96e91b45698d7973b3821889ca",1,1,2000,1,1,1,1,2,,"MOSHI MJINI",12,4000,1,3,1,200,102,2,1,1,1,2,,,,,,,,,,,,,,,
"39-17-14-72","bbfb6ee6cf4e4fffb2c39b84d5cbec66",2,,,,,,,2,,"MTWARA MJINI",3,,100,250,2,,,4,2,2,3,2,,,,,,,,,,,,,,,
"39-26-59-48","4dae65f7eb2e4ee1902d52dfa7335a85",2,,,,,,,2,,"LIMBANI",16,7000,1,0,1,57,40,3,3,1,2,2,,,,,,,,,,,,,,,
"39-27-42-33","2cae33cd8d35441eb7ac742efcd27f5b",2,,,,,,,2,,"IGOMA",2,5000,50,20,2,,,2,2,1,1,2,,,,,,,,,,,,,,,
"39-89-72-02","e5a143065e4c4facadb7731121117475",2,,,,,,,2,,"BARABARA YA NNE (TANGAMANO)",3,,20,120,2,,,4,4,4,4,2,,,,,,,,,,,,,,,
"40-32-55-76","4893e1a19e2d4440a02cedc08aaf659e",2,,,,,,,1,6000,"BABATI",21,6000,3,2,2,,,2,2,2,2,1,21,211,1,1,1,1,1,1,0,0,0,0,0,0,1
"40-34-18-65","97cfbb0a291b412d8e4f7d45d1e3a271",2,,,,,,,2,,"MAGOMENI",0,,,,2,,,3,1,3,1,2,,,,,,,,,,,,,,,
"40-75-08-64","4f455f10e1f54b33b76e1aaf040a96c5",2,,,,,,,2,,"KIGAMBONI",5,12000,50,200,2,,,4,2,2,3,2,,,,,,,,,,,,,,,
"40-86-20-47","96d658e3b03e48669a24da99dc24e2b7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-07-41-06","f14b3eaf7ec346a9ac8663a97605b5b9",1,4,100,0,0,0,0,2,,"MPWAPWA",80,5500,0,2,2,,,3,1,2,4,1,1,14,1,1,1,1,0,0,0,0,0,0,0,1,2
"41-21-75-34","b0d39fc4044349968b86e08bb55307ba",1,5,25,0,1,0,0,1,12000,"MWAKIZEGA",0.1,12000,3,10,2,,,1,2,3,4,2,,,,,,,,,,,,,,,
"41-23-85-75","85e5f808719248919a65d78e2173fa2d",2,,,,,,,1,6000,"MPETA",13,2000,11,20,2,,,2,2,2,2,1,23,232,0,0,0,0,0,0,0,0,0,0,1,1,1
"41-50-91-05","c9dc170cded04c9e9aa8cebe2f43e539",2,,,,,,,2,,"MTAA WA BLOK T",0,12000,0,0,1,86,40,2,3,3,3,2,,,,,,,,,,,,,,,
"41-59-36-73","ff80932637a240fabb8995a2fb0c5042",1,3,78,0,1,0,1,1,1000,"MBONDO",5,1000,3,5,2,,,3,1,3,2,2,,,,,,,,,,,,,,,
"41-73-91-91","1f828c46e384401a80188e31eabc1470",1,1,80,1,1,0,1,2,,"NEWALA WILAYANI",30,1000,0,2,1,80,20,3,3,1,1,2,,,,,,,,,,,,,,,
"41-91-51-72","401f9e505bae4e0f9ad96094b1c19708",1,12,160,0,1,0,0,1,5000,"MKWAJUNI",1,6000,4,0,2,,,4,1,1,4,2,,,,,,,,,,,,,,,
"41-96-69-59","e933585507964a6d8fd90574824cc223",2,,,,,,,2,,"SINGIDA",6,6000,20,30,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"42-06-63-62","1c7c633ae925476bbbb12c4b740e4773",2,,,,,,,2,,"MLOLA",5,7000,3,0,2,,,1,2,1,2,2,,,,,,,,,,,,,,,
"42-50-49-96","4a6fd370f78144558b9cd27c0a523bdb",1,1,55,1,1,0,1,2,,"HUNGUMALWA",17,2500,3,6,2,,,3,4,3,3,2,,,,,,,,,,,,,,,
"42-50-81-42","b82f1052c90443feab80715f0debf0b7",2,,,,,,,1,6000,"KIKUNDE",29,6000,4,6,2,,,2,2,2,2,1,4,47,0,0,0,0,1,1,1,0,0,0,0,0,1
"42-84-08-46","a11fd4a5364e41149e9ffa0691e108cb",2,,,,,,,2,,"MAKAMBAKO",23,2000,0,0,2,,,4,2,2,2,2,,,,,,,,,,,,,,,
"42-90-14-91","505dc07020894b20bd8524f55b60e7b7",1,1,30,1,1,0,1,1,6000,"BUNGU",8,6000,0,10,2,,,3,1,2,2,2,,,,,,,,,,,,,,,
"42-94-68-65","8dbc98013ea449dc96f4bddd0829fca7",2,,,,,,,2,,"MUEMBELADU",5,8000,5,7,2,,,4,2,3,2,2,,,,,,,,,,,,,,,
"42-96-10-47","c2bfbc2124944b10822bc057172a43a6",2,,,,,,,1,6000,"KIMARA",3,8000,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"43-13-50-12","9b327eee441644fa9c60cc1ce475c819",2,,,,,,,2,,"DUKA LA PEMBEJEO MSAMVU",7,12000,0,0,2,,,2,2,2,3,2,,,,,,,,,,,,,,,
"43-18-08-76","f99b2651c0a44659ab5fd4d502d4ae39",1,1,42,1,1,1,0,1,6000,"ADELMASI MMARI",0,6000,0,0,2,,,3,2,1,1,2,,,,,,,,,,,,,,,
"43-26-90-09","2b9f26641bce46f9bc9c1c07fc7c6595",1,1,30,0,0,0,0,2,,"MAKUNDUCHI",12.8,9000,0,20,1,100,40,1,1,1,1,2,,,,,,,,,,,,,,,
"43-51-92-35","14836a6a1d584b6aa884961583841e86",2,,,,,,,1,6000,"ILULA",20,6000,1,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"44-04-67-22","19e24541cabe4988a0db49ae14b0f7d0",1,1,120,1,1,0,0,2,,"MAJALILA",5,6000,50,40,2,,,5,2,1,2,1,15,153,0,0,0,0,0,0,1,1,1,1,0,0,1
"44-09-88-30","597dabb527f44f8ea720b3800587d740",1,11,127,1,1,1,0,2,,"MLANDEGE",6,8000,26,39,1,60,40,3,1,1,1,2,,,,,,,,,,,,,,,
"44-15-06-31","0442d4465cbe4d1a9a35e1fe69d9d7b3",2,,,,,,,1,12000,"KINAMAGI",0,12000,6,7,2,,,3,4,3,3,1,14,145,0,0,0,0,0,0,1,1,1,0,0,0,2
"44-19-72-77","bd96286f17db48a9950317649c4ec678",2,,,,,,,1,6000,"KENYAMONTA",0.1,6000,6,4,2,,,3,3,3,2,2,,,,,,,,,,,,,,,
"44-33-82-64","5d06000469db4f19a3f0581b98da7610",2,,,,,,,2,,"KIJIJI CHA KIGOROGORO",2,7000,11,35,2,,,1,2,3,3,2,,,,,,,,,,,,,,,
"45-09-73-29","cb53fd104e0446d0acdb58a80c95641e",2,,,,,,,2,,"SONI",6,6000,0,0,2,,,2,1,2,1,2,,,,,,,,,,,,,,,
"45-27-93-47","b36cdabc46714c7dbf6ba97c017c3638",2,,,,,,,2,,"MBAGALA",5,3000,200,250,2,,,1,2,2,1,2,,,,,,,,,,,,,,,
"45-38-70-12","165b8fe85942452591ced9a6820d5708",1,1,100,0,1,0,1,1,6000,"KIJIJI CHA ITAKA",4,6000,3,5,2,,,4,3,1,3,1,,,0,0,0,0,1,1,1,1,1,1,0,0,1
"45-38-95-83","1f260d0e1b424caeae98053e36bc411d",2,,,,,,,1,6000,"KIGONSERA",20,6000,0,6,2,,,5,3,3,3,2,,,,,,,,,,,,,,,
"45-95-41-62","8b987ad6b53141b2857df3b28805db11",2,,,,,,,2,,"MANZESE",5,400,25,25,2,,,1,1,2,2,2,,,,,,,,,,,,,,,
"45-99-53-45","d13ccd5df52c427096d3b7c81b09832c",2,,,,,,,1,6000,"TANGA",4,6000,10,6,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"46-07-65-01","95adffdee2f4450e86ee14784a0bf5b9",1,1,45,1,0,0,0,2,,"MIKUMBI",0,12000,10,15,2,,,2,4,2,4,2,,,,,,,,,,,,,,,
"46-09-15-00","b8f84f6c68884733a485751831dc5376",2,,,,,,,1,6000,"IBOROGELO",5,6000,,,2,,,2,3,2,2,2,,,,,,,,,,,,,,,
"46-18-31-36","f133e6a6cd7d436f885815fbbc62cd80",2,,,,,,,1,6000,"CHIMALA",5,6000,0,5,2,,,1,1,1,1,1,12,127,1,1,0,0,0,0,0,0,0,0,0,0,3
"46-33-31-20","89750db895d64457bdcfcc8ca143af7e",2,,,,,,,2,,"MARUHUBI",5.6,7000,50,30,2,,,3,3,3,3,2,,,,,,,,,,,,,,,
"46-33-98-51","da855bf4b7654c08811714c1e8303861",2,,,,,,,2,,"LIMBANI-WETE",0.8,3000,0,30,2,,,3,2,1,3,2,,,,,,,,,,,,,,,
"46-49-76-04","1e499b55e516436d9c59338df8cec029",2,,,,,,,1,6000,"MTAKUJA",10,6000,,,2,,,1,2,2,2,2,,,,,,,,,,,,,,,
"46-65-58-97","71c12c06b5fc4a5a9d9dac3169a30345",2,,,,,,,2,,"MJJNI SOKO LA MBUYUNI",5,5500,40,30,2,,,1,1,2,2,2,,,,,,,,,,,,,,,
"46-90-51-46","4206c150cea94848b270de23645a68b2",2,,,,,,,2,,"MTWARA MJINI",68,1000,1,25,2,,,1,2,4,4,2,,,,,,,,,,,,,,,
"47-37-57-81","6ef675ef3ed6450bb99d74f2b310478d",2,,,,,,,2,,"BULIGE",16,7000,10,5,2,,,4,2,3,4,1,17,171,0,0,1,1,0,0,0,1,1,0,0,0,2
"47-77-49-35","9d0958b68d91453b827b59300014a60d",2,,,,,,,2,,"KWA HAJI TUMBO",16,8000,8,5,1,206,6,3,3,3,3,2,,,,,,,,,,,,,,,
"48-55-19-05","d66769e8d63645de8ed6530650607589",2,,,,,,,1,6000,"ARUSHA",9.6,6000,3,2,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
